City,Country,Lat,Lng,Temp,Cloudiness,Humidity,Wind Speed
Soria,ES,41.6667,-2.6667,46.0,98,94,2.13
Chokurdakh,RU,70.6333,147.9167,25.45,98,91,13.29
Tuatapere,NZ,-46.1333,167.6833,55.99,97,91,11.99
Port Elizabeth,ZA,-33.918,25.5701,60.8,0,82,20.71
Sioux Lookout,CA,50.1001,-91.917,53.6,90,40,5.75
Anloga,GH,5.7947,0.8973,78.8,20,83,5.75
Kavieng,PG,-2.5744,150.7967,84.24,91,70,10.18
Talnakh,RU,69.4865,88.3972,33.21,100,99,8.12
Mossamedes,AO,-15.1961,12.1522,73.58,46,72,8.01
Iberia,US,29.9502,-91.7507,72.55,1,88,13.8
Taungdwingyi,MM,20.0167,95.55,90.63,0,47,8.05
Monroe,US,43.1501,-77.6831,48.88,90,93,4.61
Saint-François,FR,46.4154,3.9054,49.53,90,87,4.36
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,40,74,11.5
Codrington,AU,-38.2667,141.9667,69.85,6,42,5.61
Andros Town,BS,24.7,-77.7667,77.0,75,83,10.36
Laurens,US,32.4502,-82.9165,67.26,1,94,5.26
Saskylakh,RU,71.9167,114.0833,30.74,92,83,8.37
Victor Harbor,AU,-35.5667,138.6167,66.99,11,71,1.01
Paamiut,GL,61.994,-49.6678,36.43,100,79,3.74
Souillac,MU,-20.5167,57.5167,77.0,40,88,9.22
Maputo,MZ,-25.9653,32.5892,71.55,40,94,3.44
Ajdabiya,LY,30.7554,20.2263,76.24,4,12,8.9
Bafra,TR,41.5678,35.9069,56.03,75,87,5.75
Grand Gaube,MU,-20.0064,57.6608,75.0,82,90,3.0
Dolores Hidalgo Cuna de la Independencia Nacional,MX,21.1561,-100.9308,77.0,16,22,10.85
Sibu,MY,2.3,111.8167,86.0,20,74,2.3
Mehamn,NO,71.0357,27.8492,26.6,75,80,8.05
Jablah,SY,35.3614,35.9256,57.2,0,62,5.75
Port-Cartier,CA,50.0334,-66.8654,40.19,12,70,4.61
Usinsk,RU,65.9939,57.5281,28.13,92,77,8.28
Sibolga,ID,1.7427,98.7792,83.91,100,71,1.74
Aykhal,RU,66.0,111.5,31.05,6,84,13.47
Mt. Pleasant,US,32.7941,-79.8626,68.45,75,100,9.93
Faanui,PF,-16.4833,-151.75,81.81,64,74,10.51
Anadyr,RU,64.75,177.4833,28.18,0,74,6.71
Hokitika,NZ,-42.7167,170.9667,53.55,100,74,0.92
Pimentel,PE,-6.8367,-79.9342,64.0,49,85,5.01
Gravelbourg,CA,49.8834,-106.5512,50.0,59,34,6.91
Safaga,EG,26.7292,33.9365,71.6,0,18,6.91
Bonavista,CA,48.6499,-53.1147,38.05,96,87,8.05
Killeen,US,31.1171,-97.7278,77.0,75,83,14.97
Springfield,US,37.2153,-93.2982,66.02,90,94,6.91
Ahtopol,BG,42.1,27.95,48.2,90,93,4.61
Varkala,IN,8.7341,76.7067,86.0,40,79,4.61
Melfi,IT,40.9965,15.6514,45.0,42,99,1.01
Kalga,RU,50.9251,118.898,34.41,100,70,10.89
Tevaitoa,PF,-16.7833,-151.5,81.79,56,75,10.4
Norman Wells,CA,65.282,-126.8329,32.0,20,47,18.41
Itarantim,BR,-15.6597,-40.0656,68.2,48,96,2.98
Anantapur,IN,14.6833,77.6,90.03,8,38,1.79
Mamou,GN,10.5,-12.0,73.83,97,52,3.4
Kigoma,TZ,-4.8769,29.6267,72.07,88,80,7.02
Bilibino,RU,68.0546,166.4372,27.37,98,73,3.49
Yumen,CN,40.2833,97.2,70.84,9,10,22.77
Bowen,AU,-20.0167,148.2333,77.0,75,65,16.11
Lompoc,US,34.6391,-120.4579,53.47,0,82,8.05
Ballina,AU,-28.8667,153.5667,71.1,40,68,9.22
Agüimes,ES,27.9054,-15.4461,63.86,20,77,5.75
San Juan,AR,-31.5375,-68.5364,66.85,0,40,1.88
Kahului,US,20.8947,-156.47,74.16,75,78,9.22
Pudozh,RU,61.8099,36.5345,31.15,100,85,6.22
Bubaque,GW,11.2833,-15.8333,77.41,57,69,14.58
Port-Gentil,GA,-0.7193,8.7815,81.01,100,80,4.68
Teguise,ES,29.0605,-13.564,60.8,0,82,3.44
Riyadh,SA,24.6877,46.7219,83.52,75,21,9.22
Mosquera,CO,4.7059,-74.2302,55.4,75,94,3.44
Gizo Government Station,SB,-8.103,156.8419,83.23,89,70,7.0
Sirte,LY,31.2089,16.5887,70.66,100,65,12.03
Salekhard,RU,66.53,66.6019,24.71,100,90,11.99
Leningradskiy,RU,69.3833,178.4167,26.87,100,71,1.63
Moerai,PF,-22.4333,-151.3333,78.26,100,67,2.95
Burnie,AU,-41.0667,145.9167,62.01,52,70,5.99
Amarillo,US,35.222,-101.8313,54.88,1,66,14.97
Guanay,BO,-15.4975,-67.8797,69.04,100,89,0.74
Port Keats,AU,-14.25,129.55,91.9,3,46,7.29
Tiznit Province,MA,29.5833,-9.5,54.61,73,87,1.79
Moindou,NC,-21.6924,165.677,78.8,0,53,18.41
Pervomayskiy,RU,53.2485,40.2871,39.0,68,69,7.07
Kavaratti,IN,10.5669,72.642,84.33,6,68,3.13
Lyuban',BY,52.7985,28.0048,34.54,60,80,7.16
Constantine,DZ,36.365,6.6147,51.8,0,82,6.91
Whitehorse,CA,60.7161,-135.0538,39.31,40,48,11.5
Maracaçumé,BR,-2.0428,-45.9592,72.72,100,96,2.28
Narasannapeta,IN,18.4167,84.05,87.71,64,62,8.93
Chara,RU,56.9064,118.2631,23.68,100,84,4.16
Haines Junction,CA,60.7522,-137.5108,42.8,97,42,4.61
College,US,64.8569,-147.8028,51.04,20,24,1.36
Gallup,US,35.5281,-108.7426,47.17,75,66,8.05
General Roca,AR,-39.0333,-67.5833,55.4,0,82,1.14
Itapirapuã,BR,-15.8233,-50.6133,69.78,64,60,4.7
Kinshasa,CD,-4.3246,15.3215,75.2,40,100,4.61
Esim,GH,4.8699,-2.2405,79.97,100,83,5.03
Prince Rupert,CA,54.3161,-130.3201,48.2,90,93,11.5
Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,0,55,8.05
Durango,MX,24.8333,-104.8333,59.95,51,46,12.19
Vanavara,RU,60.34,102.2797,37.22,78,51,7.7
Tunggol,PH,5.8446,121.1544,85.91,81,65,4.07
Katangli,RU,51.7102,143.2326,33.4,100,71,14.56
Glenluce,GB,54.8798,-4.8084,44.01,100,90,3.76
San Ramon,US,37.7799,-121.978,67.37,1,30,9.22
Vrangel',RU,42.7297,133.0839,48.36,42,56,7.74
Pisco,PE,-13.7,-76.2167,63.81,40,88,1.74
Doha,QA,25.2867,51.5333,88.21,75,33,10.36
Karasburg,NA,-28.0167,18.75,52.56,39,76,7.14
Neryungri,RU,56.6709,124.6491,27.37,100,92,7.29
Byron Bay,AU,-28.65,153.6167,69.49,40,68,9.22
Bay Roberts,CA,47.5999,-53.2648,37.71,100,90,1.01
Laguna,US,38.421,-121.4238,75.9,1,25,9.22
San Patricio,US,28.017,-97.5169,78.26,90,83,17.27
Northam,GB,51.0333,-4.2167,40.06,21,80,1.01
Provideniya,RU,64.3833,-173.3,33.8,0,60,13.42
Fort Nelson,CA,58.8053,-122.7002,37.4,75,41,4.61
Solnechnyy,RU,50.7214,136.6319,43.77,100,75,3.98
Wagga Wagga,AU,-35.1167,147.3667,72.21,9,33,2.3
Takhtamygda,RU,54.1,123.5667,39.69,100,75,7.11
Ulaangom,MN,49.9811,92.0667,58.95,27,39,2.82
Husavik,IS,66.0449,-17.3389,26.6,0,86,3.44
Tombouctou,ML,20.0,-3.0,85.68,94,17,10.65
Tuymazy,RU,54.6067,53.7097,41.43,90,77,6.71
Walvis Bay,NA,-22.9575,14.5053,58.08,6,94,9.22
Varkaus,FI,62.3153,27.873,29.55,0,93,3.44
Isangel,VU,-19.55,169.2667,82.4,20,57,5.75
Pecos,US,31.4229,-103.4932,60.8,90,59,18.41
Chu,KZ,43.5983,73.7614,73.33,0,37,6.4
Quito,EC,-0.2299,-78.5249,53.6,90,94,3.44
Alofi,NU,-19.0595,-169.9187,82.4,75,89,6.91
El Dorado,US,38.7666,-120.5177,63.7,1,22,4.88
Port Augusta,AU,-32.5,137.7667,73.26,1,33,8.05
Geraldton,AU,-28.7667,114.6,78.8,100,57,9.22
Duyun,CN,26.2667,107.5167,72.7,61,55,1.9
Mahon,ES,39.8885,4.2658,60.8,90,94,8.05
Yinchuan,CN,38.4681,106.2731,66.0,60,17,6.29
Kristinehamn,SE,59.3098,14.1081,29.7,97,93,5.75
Borovoy,RU,55.4333,86.0833,48.2,0,71,6.71
Pacific Grove,US,36.6177,-121.9166,55.69,6,81,3.58
Poykovskiy,RU,61.2333,73.3333,39.2,75,100,6.71
Arnstadt,DE,50.8333,10.95,46.26,20,81,9.22
Bac Lieu,VN,9.285,105.7244,87.67,100,61,11.79
Abaetetuba,BR,-1.7181,-48.8825,77.0,0,94,5.75
Kutulik,RU,53.3508,102.7839,34.63,100,73,6.2
Bershet',RU,57.7309,56.3783,41.0,75,81,11.18
Touros,BR,-5.1989,-35.4608,75.2,20,88,3.44
Kabanjahe,ID,3.1001,98.4908,84.2,20,79,2.3
Mana,GF,5.6592,-53.7767,76.66,100,90,8.9
Bengkulu,ID,-3.8004,102.2655,83.5,87,69,2.51
Saint Paul Harbor,US,57.79,-152.4072,44.6,90,87,8.05
Manokwari,ID,-0.8667,134.0833,83.57,24,69,4.59
Lüderitz,NA,-26.6481,15.1594,59.14,11,73,21.45
Santiago del Estero,AR,-27.7951,-64.2615,61.79,71,70,7.67
Ukiah,US,39.1502,-123.2078,65.88,1,16,4.61
Semīrom,IR,31.4167,51.5667,53.91,100,55,2.17
Camopi,GF,3.1655,-52.3158,71.58,99,99,1.88
Bagotville,AU,-28.9833,153.4167,71.02,40,68,9.22
Kokopo,PG,-4.352,152.2633,83.3,51,69,7.11
Keshorai Pātan,IN,25.3,75.9333,93.4,2,16,13.53
Río Gallegos,AR,-51.6226,-69.2181,41.0,0,65,16.11
Santa Cruz de La Palma,ES,28.6835,-17.7642,64.4,0,59,8.05
Kismayo,SO,-0.3582,42.5454,81.52,22,81,7.16
Mezen',RU,65.8522,44.24,29.95,46,63,6.51
São Filipe,CV,14.8961,-24.4956,72.52,66,77,7.02
Mikhaylovskoye,RU,51.8239,79.7172,59.65,96,66,8.03
Amudālavalasa,IN,18.4167,83.9,88.45,70,58,7.87
Clyde River,CA,70.4692,-68.5914,23.0,90,100,14.97
Valdez,EC,1.2492,-78.9831,76.57,100,86,3.51
Tual,ID,-5.6667,132.75,83.34,79,72,6.38
Kutum,SD,14.2,24.6667,75.22,100,15,5.08
São Félix do Xingu,BR,-6.6447,-51.995,70.45,98,98,1.25
Bonthe,SL,7.5264,-12.505,80.22,100,78,4.16
Quatre Cocos,MU,-20.2078,57.7625,75.94,40,88,9.22
Dudinka,RU,69.4058,86.1778,32.56,100,99,6.08
Chui,UY,-33.6971,-53.4616,54.5,2,88,3.6
Dicabisagan,PH,17.0818,122.4157,84.47,65,59,5.1
Fort Saint James,CA,54.4333,-124.25,41.68,100,98,3.91
Ippy,CF,6.2679,21.2247,71.01,100,91,2.48
Buala,SB,-8.145,159.5921,82.56,99,76,3.89
Tura,IN,25.5198,90.2201,92.55,25,25,4.12
Basco,PH,20.4487,121.9702,79.12,99,67,3.83
Telimele,GN,10.9167,-13.3333,70.16,66,70,2.39
Luwuk,ID,-0.9516,122.7875,86.49,33,62,3.44
Mandalgovi,MN,45.7625,106.2708,40.23,84,45,13.33
Paraná,AR,-31.732,-60.5238,61.36,0,73,3.89
Nouadhibou,MR,20.931,-17.0347,66.2,22,94,14.97
Osmaniye,TR,37.0742,36.2478,63.0,6,89,1.99
Qui Nhon,VN,13.7667,109.2333,83.12,100,68,9.33
Karratha,AU,-20.7377,116.8463,90.66,0,21,13.47
Hualmay,PE,-11.0964,-77.6139,66.38,10,87,9.13
Yar-Sale,RU,66.8333,70.8333,15.48,85,93,6.06
Broome,US,42.2506,-75.833,58.46,40,88,6.91
Kruisfontein,ZA,-34.0033,24.7314,63.0,100,75,5.01
Salalah,OM,17.0151,54.0924,84.2,75,79,4.61
Caravelas,BR,-17.7125,-39.2481,74.03,74,85,4.85
Zhangaözen,KZ,43.3,52.8,62.47,100,33,18.84
Qarqīn,AF,37.4185,66.0436,84.87,0,18,9.57
Guerrero Negro,MX,27.9769,-114.0611,59.97,0,80,16.98
Katherine,AU,-14.4667,132.2667,89.6,75,45,12.66
Waverly,US,42.7392,-84.6208,53.65,40,82,8.05
Aswān,EG,24.0934,32.907,79.07,0,17,10.49
Kwang Binh,VN,17.4833,106.6,77.18,100,88,10.22
Bayeux,BR,-7.125,-34.9322,75.2,0,94,2.3
Iquique,CL,-20.2208,-70.1431,64.4,0,68,3.44
Dengzhou,CN,37.8086,120.7508,61.34,100,38,16.2
Arraial do Cabo,BR,-22.9661,-42.0278,71.78,97,76,4.97
Yulara,AU,-25.2406,130.9889,73.4,0,23,12.66
Poum,NC,-20.2333,164.0167,75.69,0,51,4.12
Rabo de Peixe,PT,37.8,-25.5833,57.2,75,67,4.61
San Policarpo,PH,12.1791,125.5072,82.8,13,67,6.42
Tarakan,ID,3.3,117.6333,86.0,40,79,4.61
Aleppo Governorate,SY,36.25,37.5,61.92,4,61,8.12
Parry Sound,CA,45.3501,-80.033,46.4,94,87,5.53
Grajaú,BR,-5.8194,-46.1386,72.95,100,95,3.09
Timizart,DZ,36.8,4.2667,55.74,96,87,2.93
Seymchan,RU,62.8833,152.4333,33.96,69,90,4.65
Assiniboia,CA,49.6334,-105.9845,42.8,65,49,6.91
Fortuna,US,40.5982,-124.1573,49.57,90,100,11.5
Padang,ID,-0.9492,100.3543,77.0,75,94,5.75
Bukama,CD,-9.2,25.85,67.66,54,96,1.57
Copiapó,CL,-27.3667,-70.3333,57.2,0,72,4.61
Nioaque,BR,-21.1353,-55.83,60.67,17,52,4.54
Wanaka,NZ,-44.7,169.15,58.77,73,64,6.24
Mount Gambier,AU,-37.8333,140.7667,64.4,6,68,9.22
Tot'ma,RU,59.9747,42.7642,30.65,92,90,5.97
Raudeberg,NO,61.9875,5.1352,39.0,9,77,18.43
Phonhong,LA,18.5007,102.4166,77.0,75,94,2.3
Meihekou,CN,42.5272,125.6753,61.32,95,22,17.02
Morón,AR,-34.6534,-58.6198,60.84,67,86,5.08
Lalibela,ET,12.0333,39.0333,60.01,56,71,3.6
Luba,GQ,3.4568,8.5547,80.74,100,80,5.1
Abaza,RU,52.655,90.0928,52.27,100,71,0.72
Lhokseumawe,ID,5.1801,97.1507,83.57,100,74,2.55
Derzhavīnsk,KZ,51.1,66.3167,52.27,99,58,10.8
Coahuayana Viejo,MX,18.7333,-103.6833,72.79,25,92,1.63
Chalmette,US,29.9427,-89.9634,74.82,1,83,6.91
Brandon,US,27.9378,-82.2859,73.38,1,83,7.76
Sosnovo,RU,60.5514,30.2144,30.97,90,74,5.12
Khuzhir,RU,53.1939,107.3397,28.44,14,69,11.03
Naze,JP,28.3667,129.4833,68.0,75,94,17.27
Pauini,BR,-7.7136,-66.9764,71.82,100,98,2.33
Bonita Springs,US,26.3398,-81.7787,74.48,3,74,1.99
Sisimiut,GL,66.9395,-53.6735,35.96,100,64,8.72
Quebo,GW,11.3333,-14.9333,73.09,6,77,4.97
Slave Lake,CA,55.2834,-114.769,23.0,1,93,2.3
Mexico,PH,15.0646,120.7198,91.4,75,52,4.61
Vila Velha,BR,-20.3297,-40.2925,73.4,75,83,3.44
Pontes e Lacerda,BR,-15.2261,-59.3353,65.34,89,74,1.79
Vanimo,PG,-2.6741,141.3028,87.12,84,61,5.48
Shaunavon,CA,49.6501,-108.4181,48.2,26,37,10.36
Buckeye,US,33.3703,-112.5838,72.43,67,28,12.66
Morant Bay,JM,17.8815,-76.4093,76.06,20,74,8.05
Matamoros,MX,25.5333,-103.25,93.2,75,9,23.02
Westport,US,41.1415,-73.3579,58.87,90,88,4.61
Ponta Delgada,PT,37.7333,-25.6667,57.2,75,67,4.61
Goundam,ML,16.4145,-3.6708,90.84,92,23,8.68
Vogan,TG,6.3333,1.5333,78.8,20,83,5.75
Vostok,RU,46.4856,135.8833,50.9,5,23,9.13
Meïganga,CM,6.5167,14.3,67.89,100,89,2.93
Port Macquarie,AU,-31.4333,152.9167,72.48,17,59,1.99
Kilcullen,IE,53.1303,-6.7444,39.15,0,93,2.3
Srednekolymsk,RU,67.45,153.6833,29.5,96,88,7.47
Kalininskaya,RU,45.4822,38.6628,49.73,84,84,5.99
San Lorenzo,PY,-25.3333,-57.5333,59.0,0,82,5.75
Along,IN,28.1667,94.7667,88.23,46,32,0.56
Aklavik,CA,68.2191,-135.0107,37.4,27,52,9.22
Esperance,AU,-33.8667,121.9,86.0,97,14,23.02
Cururupu,BR,-1.8283,-44.8683,74.64,100,90,2.1
Grootfontein,NA,-19.5667,18.1167,57.2,30,67,4.61
Banda Aceh,ID,5.5577,95.3222,84.45,100,69,3.29
Laas,IT,46.6166,10.7002,47.5,90,100,5.75
Churapcha,RU,62.0025,132.4325,31.87,100,95,2.53
La Rioja,ES,42.25,-2.5,48.61,90,93,8.05
Alyangula,AU,-13.8483,136.4192,87.8,94,62,10.36
Mosetse,BW,-20.75,26.65,64.67,8,51,9.64
Rio Grande,BR,-32.035,-52.0986,50.0,0,96,6.08
Barra de Tecoanapa,MX,16.5167,-98.75,80.29,42,74,5.77
Ahipara,NZ,-35.1667,173.1667,63.84,15,59,9.75
Leopold,AU,-38.1833,144.4667,62.6,4,67,8.05
Rockland,US,41.1668,-74.0496,60.33,100,83,7.11
Myingyan,MM,21.4667,95.3833,77.0,75,83,9.22
Deputatsky,RU,69.3,139.9,23.16,19,76,3.67
El Salvador,SV,13.8333,-88.9167,78.8,20,94,1.14
Azanka,RU,58.0401,64.7893,43.65,2,55,11.52
Methóni,GR,36.8197,21.7049,59.9,17,82,4.61
Klaksvík,FO,62.2266,-6.589,37.4,90,81,4.61
Hofn,IS,64.2539,-15.2082,35.74,95,64,7.81
Ayan,RU,56.45,138.1667,31.78,100,65,10.07
Bilma,NE,18.6853,12.9164,82.44,5,10,4.29
Atambua,ID,-9.1061,124.8925,82.62,19,55,2.95
Zaranj,AF,30.9667,61.8833,80.6,0,22,9.22
Saint-Ambroise,CA,48.5501,-71.3324,47.95,100,46,2.3
Terra Santa,BR,-2.1042,-56.4869,73.09,98,97,2.19
Tazovsky,RU,67.4667,78.7,30.96,100,94,5.64
Molokovo,RU,58.1661,36.7628,30.51,68,91,4.94
Cockburn Town,TC,21.4612,-71.1419,77.94,53,75,20.96
Dalbandin,PK,28.8947,64.4101,83.52,90,19,4.09
Makakilo City,US,21.3469,-158.0858,76.15,90,61,8.05
